Problema;Algoritmo;bhv;hv;gd;igd;igdp;bspread;spread
ZDT4;MyNSGAII;0.6661736173;0.6277428233;0.0021461410;0.0007938668;0.0231100021;0.0000000000;0.6484784666
ZDT4;NSGAII;0.6661736173;0.4305048904;0.0260242716;0.0052940503;0.1664692771;0.0000000000;0.7133114166
ZDT4;MyNSGAII;0.6661736173;0.6388049093;0.0015900892;0.0005768866;0.0164354172;0.0000000000;0.7229314282
ZDT4;NSGAII;0.6661736173;0.2731659580;0.0925058283;0.0082219439;0.2547058329;0.0000000000;0.7720669958
ZDT4;MyNSGAII;0.6661736173;0.4891378063;0.0089712655;0.0040676205;0.1280018185;0.0000000000;0.7629469751
ZDT4;NSGAII;0.6661736173;0.4139565405;0.0267488272;0.0054638512;0.1716159616;0.0000000000;0.8350798101
ZDT4;MyNSGAII;0.6661736173;0.4295663888;0.0479447961;0.0054044676;0.1608163637;0.0000000000;0.7150456315
ZDT4;NSGAII;0.6661736173;0.4709079258;0.0158317883;0.0043618977;0.1374807427;0.0000000000;0.7498751111
ZDT4;MyNSGAII;0.6661736173;0.6487244201;0.0002175186;0.0007148981;0.0103343259;0.0000000000;0.8326670736
ZDT4;NSGAII;0.6661736173;0.1049742541;0.1348880334;0.0159356464;0.5024899607;0.0000000000;0.7949533217
ZDT4;MyNSGAII;0.6661736173;0.6379222309;0.0011375992;0.0007241958;0.0174081815;0.0000000000;0.7894066379
